Cosmetic Products Regulation, Annex II - Prohibited Substances
Note: Group entries are split in different rows.
Export date: 10/10/2024 21:22:23
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	""	""	""	""	""	
"Name"	"EC No."	"CAS No."	"Ref No."	"Name"	"EC Number"	"CAS"	"Molecular formula"	"Expressed As"	"Product type, body parts"	"Maximum Threshold"	"Restriction(s)"	"Notes"	
"N,N-Dimethyl-p-phenylenediamine"	"202-807-5"	"99-98-9"	"1312"	"N,N-Dimethyl-p-phenylenediamine"	"202-807-5"	"99-98-9"	""	""	"Hair dye products"	"0 %"	""	""	
"N,N-Dimethyl-2,6-Pyridinediamine and its HCl salt"	"-"	"-"	"1224"	"N,N-Dimethyl-2,6-Pyridinediamine and its HCl salt"	""	""	""	""	"Hair dye products"	"0 %"	""	""	
"N,N-Diethylbenzene-1,4-diammonium sulphate"	"228-500-6"	"6283-63-2"	"1311"	"N,N-Diethylbenzene-1,4-diammonium sulphate"	"228-500-6"	"6283-63-2"	""	""	"Hair dye products"	"0 %"	""	""	
"N,N-Diethyl-p-phenylenediamine"	"202-214-1"	"93-05-0"	"1311"	"N,N-Diethyl-p-phenylenediamine"	"202-214-1"	"93-05-0"	""	""	"Hair dye products"	"0 %"	""	""	
"N,N-Diethyl-m-aminophenol sulphate"	"269-478-8"	"68239-84-9"	"1223"	"N,N-Diethyl-m-aminophenol sulphate"	"269-478-8"	"68239-84-9"	""	""	"Hair dye products"	"0 %"	""	""	
"N,N-Diethyl-m-Aminophenol"	"202-090-9"	"91-68-9"	"1223"	"N,N-Diethyl-m-Aminophenol"	"202-090-9"	"91-68-9"	""	""	"Hair dye products"	"0 %"	""	""	
"N,N-bis(2-chloroethyl)methylamine N-oxide"	"-"	"126-85-2"	"86"	"N,N-bis(2-chloroethyl)methylamine N-oxide"	""	"126-85-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"N,N-(Dimethylamino)thioacetamide hydrochloride"	"435-470-1"	"27366-72-9"	"1537"	"N,N-(Dimethylamino)thioacetamide hydrochloride"	"435-470-1"	"27366-72-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"N,N,N',N'-Tetramethyl-4,4'-methylenedianiline"	"202-959-2"	"101-61-1"	"1161"	"N,N,N&#39;,N&#39;-Tetramethyl-4,4&#39;-methylenedianiline"	"202-959-2"	"101-61-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"N,N,N',N'-Tetraglycidyl-4,4'-diamino-3,3'-diethyldiphenylmethane"	"410-060-3"	"130728-76-6"	"1010"	"N,N,N&#39;,N&#39;-Tetraglycidyl-4,4&#39;-diamino-3,3&#39;-diethyldiphenylmethane"	"410-060-3"	"130728-76-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"N,N'-Methylenedimorpholine"	"227-062-3"	"5625-90-1"	"1605"	"N,N&#39;-Methylenedimorpholine"	"227-062-3"	"5625-90-1"	""	""	"All cosmetic products"	"0 %"	"If the maximum theoretical concentration of releasable formaldehyde, irrespective of the source, in the mixture as placed on the market is ≥ 0.1 % w/w"	""	
"N,N'-Dimethyl-N-Hydroxyethyl-3-nitro-p-phenylenediamine"	"233-549-1"	"10228-03-2"	"1288"	"N,N&#39;-Dimethyl-N-Hydroxyethyl-3-nitro-p-phenylenediamine"	"233-549-1"	"10228-03-2"	""	""	"Hair dye products"	"0 %"	""	""	
"N,N'-dihexadecyl-N,N'-bis(2-hydroxyethyl)propanediamide"	"422-560-9"	"149591-38-8"	"1243"	"N,N&#39;-dihexadecyl-N,N&#39;-bis(2-hydroxyethyl)propanediamide"	"422-560-9"	"149591-38-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"N,N'-Diacetylbenzidine"	"210-338-2"	"613-35-4"	"1502"	"N,N&#39;-Diacetylbenzidine"	"210-338-2"	"613-35-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"N,N',N'-Tris(2-methyl-2,3-epoxypropyl)-perhydro-2,4,6-oxo-1,3,5-triazine"	"435-010-8"	"26157-73-3"	"1531"	"N,N&#39;,N&#39;-Tris(2-methyl-2,3-epoxypropyl)-perhydro-2,4,6-oxo-1,3,5-triazine"	"435-010-8"	"26157-73-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"N'-(4-Chloro-o-tolyl)-N,N-dimethylformamidine monohydrochloride"	"243-269-1"	"19750-95-9"	"1037"	"N&#39;-(4-Chloro-o-tolyl)-N,N-dimethylformamidine monohydrochloride"	"243-269-1"	"19750-95-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Myclobutanil (ISO)"	"410-400-0"	"88671-89-0"	"1114"	"Myclobutanil (ISO)"	"410-400-0"	"88671-89-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Morpholine-4-carbonyl chloride"	"239-213-0"	"15159-40-7"	"1026"	"Morpholine-4-carbonyl chloride"	"239-213-0"	"15159-40-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Morpholine"	"203-815-1"	"110-91-8"	"344"	"Morpholine"	"203-815-1"	"110-91-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Monuron"	"205-766-1"	"150-68-5"	"1025"	"Monuron"	"205-766-1"	"150-68-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Monocrotophos"	"230-042-7"	"6923-22-4"	"1092"	"Monocrotophos"	"230-042-7"	"6923-22-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Molybdenum trioxide"	"215-204-7"	"1313-27-5"	"1465"	"Molybdenum trioxide"	"215-204-7"	"1313-27-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Molybdenum nickel tetraoxide"	"238-034-5"	"14177-55-0"	"1463"	"Molybdenum nickel tetraoxide"	"238-034-5"	"14177-55-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Molybdenum nickel oxide"	"-"	"12673-58-4"	"1463"	"Molybdenum nickel oxide"	""	"12673-58-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Molybdenum nickel hydroxide oxide phosphate"	"268-585-7"	"68130-36-9"	"1461"	"Molybdenum nickel hydroxide oxide phosphate"	"268-585-7"	"68130-36-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Molinate (ISO)"	"218-661-0"	"2212-67-1"	"1180"	"Molinate (ISO)"	"218-661-0"	"2212-67-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Mofebutazone"	"218-641-1"	"2210-63-1"	"64"	"Mofebutazone"	"218-641-1"	"2210-63-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Minoxidil"	"253-874-2"	"38304-91-5"	"372"	"Minoxidil"	"253-874-2"	"38304-91-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Mineral wool"	"-"	"-"	"1127"	"Mineral wool"	""	""	""	""	"All cosmetic products"	"0 %"	"Not permitted except for those specified elsewhere in this Annex"	"Man-made vitreous (silicate) fibres with random orientation with alkaline oxide and alkali earth oxide (Na2O + K2O + CaO + MgO +BaO) content greater than 18 % by weight"	
"Glass Wool"	"-"	"308066-92-4"	"1127"	"Mineral wool"	""	""	""	""	"All cosmetic products"	"0 %"	"Not permitted except for those specified elsewhere in this Annex"	"Man-made vitreous (silicate) fibres with random orientation with alkaline oxide and alkali earth oxide (Na2O + K2O + CaO + MgO +BaO) content greater than 18 % by weight"	
"Glass, oxide, chemicals"	"266-046-0"	"65997-17-3"	"1127"	"Mineral wool"	""	""	""	""	"All cosmetic products"	"0 %"	"Not permitted except for those specified elsewhere in this Annex"	"Man-made vitreous (silicate) fibres with random orientation with alkaline oxide and alkali earth oxide (Na2O + K2O + CaO + MgO +BaO) content greater than 18 % by weight"	
"Metyrapone"	"200-206-2"	"54-36-4"	"292"	"Metyrapone"	"200-206-2"	"54-36-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Metosulam (ISO)"	"604-145-6"	"139528-85-1"	"1591"	"Metosulam (ISO)"	"604-145-6"	"139528-85-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Methyprylon"	"204-745-4"	"125-64-4"	"133"	"Methyprylon"	"204-745-4"	"125-64-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Methylphenidate"	"204-028-6"	"113-45-1"	"175"	"Methylphenidate"	"204-028-6"	"113-45-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Methyloxirane"	"200-879-2"	"75-56-9"	"655"	"Methyloxirane"	"200-879-2"	"75-56-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Methylmercuric chloride"	"204-064-2"	"115-09-3"	"1647"	"Methylmercuric chloride"	"204-064-2"	"115-09-3"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 October 2021"	
"Methylhydrazine"	"200-471-4"	"60-34-4"	"1608"	"Methylhydrazine"	"200-471-4"	"60-34-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Methylenediphenyl diisocyanate"	"247-714-0"	"26447-40-5"	"1533"	"Methylenediphenyl diisocyanate"	"247-714-0"	"26447-40-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Methyl trans-2-butenoate"	"210-793-7"	"623-43-8"	"445"	"Methyl trans-2-butenoate"	"210-793-7"	"623-43-8"	""	""	"Fragrance ingredient"	"0 %"	""	""	
"Methyl N-(isopropoxycarbonyl)-L-valyl-(3RS)-3-(4-chlorophenyl)-p-alaninate"	"608-192-3"	"283159-90-0"	"1706"	"Methyl N-(isopropoxycarbonyl)-L-valyl-(3RS)-3-(4-chlorophenyl)-p-alaninate"	"608-192-3"	"283159-90-0"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
"Methyl isocyanate"	"210-866-3"	"624-83-9"	"1183"	"Methyl isocyanate"	"210-866-3"	"624-83-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Methoxyacetic acid"	"210-894-6"	"625-45-6"	"674"	"Methoxyacetic acid"	"210-894-6"	"625-45-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Methotrexate"	"200-413-8"	"59-05-2"	"6"	"Methotrexate"	"200-413-8"	"59-05-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Methocarbamol"	"208-524-3"	"532-03-6"	"205"	"Methocarbamol"	"208-524-3"	"532-03-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Metheptazine"	"-"	"469-78-3"	"174"	"Metheptazine"	""	"469-78-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Methapyrilene"	"202-099-8"	"91-80-5"	"144"	"Methapyrilene"	"202-099-8"	"91-80-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Methanediol"	"207-339-5"	"463-57-0"	"1579"	"Methanediol"	"207-339-5"	"463-57-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Metformin"	"211-517-8"	"657-24-9"	"147"	"Metformin"	"211-517-8"	"657-24-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Metethoheptazine"	"-"	"509-84-2"	"171"	"Metethoheptazine"	""	"509-84-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Metconazole (ISO)"	"603-031-3"	"125116-23-6"	"1529"	"Metconazole (ISO)"	"603-031-3"	"125116-23-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Metazachlor (ISO)"	"266-583-0"	"67129-08-2"	"1552"	"Metazachlor (ISO)"	"266-583-0"	"67129-08-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Metamfepramone"	"239-384-1"	"15351-09-4"	"145"	"Metamfepramone"	"239-384-1"	"15351-09-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Metaldehyde (ISO)"	"203-600-2"	"108-62-3"	"1646"	"Metaldehyde (ISO)"	"203-600-2"	"108-62-3"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 October 2021"	
"Metaldehyde"	"618-341-4"	"9002-91-9"	"223"	"Metaldehyde"	""	"9002-91-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Metal phosphides"	"-"	"-"	"279"	"Metal phosphides"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Metaflumizone (ISO);(EZ)-2'-[2-(4-Cyanophenyl)-1-(α,α,α-trifluoro-m-tolyl)ethylidene]-[4-(trifluoromethoxy)phenyl]carbanilohydrazide [E-isomer ≥ 90 %, Z-isomer ≤ 10 % relative content]"	"604-167-6"	"139968-49-3"	"1655"	"Metaflumizone (ISO);(EZ)-2&#39;-[2-(4-Cyanophenyl)-1-(α,α,α-trifluoro-m-tolyl)ethylidene]-[4-(trifluoromethoxy)phenyl]carbanilohydrazide [E-isomer ≥ 90 %, Z-isomer ≤ 10 % relative content]"	""	"139968-49-3"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 October 2021"	
"Mesotrione (ISO)"	"600-533-4"	"104206-82-8"	"1677"	"Mesotrione (ISO)"	""	"104206-82-8"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 March 2022"	
"Mercury and its compounds, except those special cases included in Annex V"	"-"	"-"	"221"	"Mercury and its compounds, except those special cases included in Annex V"	""	""	""	""	"All cosmetic products"	"0 %"	"Not permitted except for those special cases included in Annex V"	""	
"Meprobamate"	"200-337-5"	"57-53-4"	"236"	"Meprobamate"	"200-337-5"	"57-53-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Mephenesin"	"200-427-4"	"59-47-2"	"322"	"Mephenesin"	"200-427-4"	"59-47-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Mepanipyrim"	"600-951-7"	"110235-47-7"	"1508"	"Mepanipyrim"	"600-951-7"	"110235-47-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Mefeclorazine"	"-"	"1243-33-0"	"141"	"Mefeclorazine"	""	"1243-33-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Mecamylamine"	"200-476-1"	"60-40-2"	"229"	"Mecamylamine"	"200-476-1"	"60-40-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Me derivs. of 9,10-anthracenedione, 1,4-diamino-, N,N'-mixed 2-hydroxyethyl"	"-"	"-"	"1300"	"Me derivs. of 9,10-anthracenedione, 1,4-diamino-, N,N&#39;-mixed 2-hydroxyethyl"	""	""	""	""	"Hair dye products"	"0 %"	""	""	
"Margosa, ext. [from the kernels of Azadirachta indica extracted with water and further processed with organic solvents]"	"283-644-7"	"84696-25-3"	"1716"	"Margosa, ext. [from the kernels of Azadirachta indica extracted with water and further processed with organic solvents]"	"283-644-7"	"84696-25-3"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
"Mannomustine"	"209-404-3"	"576-68-1"	"89"	"Mannomustine"	"209-404-3"	"576-68-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Maneb (ISO)"	"235-654-8"	"12427-38-2"	"1403"	"Maneb (ISO)"	"235-654-8"	"12427-38-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Mancozeb (ISO)"	"616-995-5"	"8018-01-7"	"1402"	"Mancozeb (ISO)"	"616-995-5"	"8018-01-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Malononitrile"	"203-703-2"	"109-77-3"	"149"	"Malononitrile"	"203-703-2"	"109-77-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Malachite green oxalate"	"241-922-5"	"18015-76-4"	"1188"	"Malachite green oxalate"	"241-922-5"	"18015-76-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Malachite green hydrochloride"	"209-322-8"	"569-64-2"	"1188"	"Malachite green hydrochloride"	"209-322-8"	"569-64-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"m-Tolylidene diisocyanate"	"247-722-4"	"26471-62-5"	"1120"	"m-Tolylidene diisocyanate"	"247-722-4"	"26471-62-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"m-Phenylenediamine, 4-(phenylazo)-"	"207-803-7"	"495-54-5"	"1293"	"m-Phenylenediamine, 4-(phenylazo)-"	"207-803-7"	"495-54-5"	""	""	"Hair dye products"	"0 %"	""	""	
"m-Phenylenediamine"	"203-584-7"	"108-45-2"	"1204"	"m-Phenylenediamine"	"203-584-7"	"108-45-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Lysergide"	"200-033-2"	"50-37-3"	"127"	"Lysergide"	"200-033-2"	"50-37-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Lubricating oils (petroleum), hydrocracked nonarom. Solvent-deparaffined"	"295-424-8"	"92045-43-7"	"822"	"Lubricating oils (petroleum), hydrocracked nonarom. Solvent-deparaffined"	"295-424-8"	"92045-43-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating oils (petroleum), C>25, solvent-extd., deasphalted, dewaxed, hydrogenated"	"309-874-0"	"101316-69-2"	"862"	"Lubricating oils (petroleum), C&gt;25, solvent-extd., deasphalted, dewaxed, hydrogenated"	"309-874-0"	"101316-69-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating oils (petroleum), C24-50, solvent-extd., dewaxed, hydrogenated"	"309-877-7"	"101316-72-7"	"865"	"Lubricating oils (petroleum), C24-50, solvent-extd., dewaxed, hydrogenated"	"309-877-7"	"101316-72-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based, high-viscosity"	"276-736-3"	"72623-85-9"	"796"	"Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based, high-viscosity"	"276-736-3"	"72623-85-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based"	"276-738-4"	"72623-87-1"	"798"	"Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based"	"276-738-4"	"72623-87-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating oils (petroleum), C20-35, solvent-extd., dewaxed, hydrogenated"	"309-876-1"	"101316-71-6"	"864"	"Lubricating oils (petroleum), C20-35, solvent-extd., dewaxed, hydrogenated"	"309-876-1"	"101316-71-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating oils (petroleum), C18-40, solvent-dewaxed hydrogenated raffinate-based"	"305-595-3"	"94733-16-1"	"836"	"Lubricating oils (petroleum), C18-40, solvent-dewaxed hydrogenated raffinate-based"	"305-595-3"	"94733-16-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating oils (petroleum), C18-40, solvent-dewaxed hydrocracked distillate-based"	"305-594-8"	"94733-15-0"	"835"	"Lubricating oils (petroleum), C18-40, solvent-dewaxed hydrocracked distillate-based"	"305-594-8"	"94733-15-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating oils (petroleum), C18-27, hydrocracked solvent-dewaxed"	"307-034-8"	"97488-95-4"	"843"	"Lubricating oils (petroleum), C18-27, hydrocracked solvent-dewaxed"	"307-034-8"	"97488-95-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating oils (petroleum), C17-35, solvent-extd., dewaxed, hydrotreated"	"295-423-2"	"92045-42-6"	"821"	"Lubricating oils (petroleum), C17-35, solvent-extd., dewaxed, hydrotreated"	"295-423-2"	"92045-42-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating oils (petroleum), C17-32, solvent-extd., dewaxed, hydrogenated"	"309-875-6"	"101316-70-5"	"863"	"Lubricating oils (petroleum), C17-32, solvent-extd., dewaxed, hydrogenated"	"309-875-6"	"101316-70-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based"	"276-737-9"	"72623-86-0"	"797"	"Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based"	"276-737-9"	"72623-86-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating oils (petroleum), base oils, paraffinic"	"297-474-6"	"93572-43-1"	"826"	"Lubricating oils (petroleum), base oils, paraffinic"	"297-474-6"	"93572-43-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating oils"	"278-012-2"	"74869-22-0"	"799"	"Lubricating oils"	"278-012-2"	"74869-22-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 3% (w/w) DMSO extract"	""	
"Lubricating greases"	"278-011-7"	"74869-21-9"	"893"	"Lubricating greases"	"278-011-7"	"74869-21-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen"	""	
"Lobeline"	"202-012-3"	"90-69-7"	"219"	"Lobeline"	"202-012-3"	"90-69-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Lobelia inflata L. and its galenical preparations"	"283-642-6"	"84696-23-1"	"218"	"Lobelia inflata L. and its galenical preparations"	"283-642-6"	"84696-23-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Lithium perfluorooctane sulfonate"	"249-644-6"	"29457-72-5"	"1493"	"Lithium perfluorooctane sulfonate"	"249-644-6"	"29457-72-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Lithium nickel dioxide"	"620-400-4"	"12031-65-1"	"1463"	"Lithium nickel dioxide"	"620-400-4"	"12031-65-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Linuron (ISO)"	"206-356-5"	"330-55-2"	"1059"	"Linuron (ISO)"	"206-356-5"	"330-55-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Ligroine"	"232-453-7"	"8032-32-4"	"1539"	"Ligroine"	"232-453-7"	"8032-32-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Light oil (coal), semi-coking process"	"292-635-7"	"90641-11-5"	"1539"	"Light oil (coal), semi-coking process"	"292-635-7"	"90641-11-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Light oil (coal), coke-oven"	"266-012-5"	"65996-78-3"	"1539"	"Light oil (coal), coke-oven"	"266-012-5"	"65996-78-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Lidocaine"	"205-302-8"	"137-58-6"	"399"	"Lidocaine"	"205-302-8"	"137-58-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Levofacetoperane"	"-"	"24558-01-8"	"284"	"Levofacetoperane"	""	"24558-01-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Leucomalachite green"	"204-961-9"	"129-73-7"	"1550"	"Leucomalachite green"	"204-961-9"	"129-73-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Lenacil (ISO)"	"218-499-0"	"2164-08-1"	"1590"	"Lenacil (ISO)"	"218-499-0"	"2164-08-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Lead and its compounds"	"-"	"-"	"289"	"Lead and its compounds"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
