Cosmetic Products Regulation, Annex II - Prohibited Substances
Note: Group entries are split in different rows.
Export date: 10/10/2024 21:22:23
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	""	""	""	""	""	
"Name"	"EC No."	"CAS No."	"Ref No."	"Name"	"EC Number"	"CAS"	"Molecular formula"	"Expressed As"	"Product type, body parts"	"Maximum Threshold"	"Restriction(s)"	"Notes"	
"Thiacloprid (ISO)"	"601-147-9"	"111988-49-9"	"1610"	"Thiacloprid (ISO)"	"601-147-9"	"111988-49-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Thevetia neriifolia Juss., glycoside extract"	"290-446-4"	"90147-54-9"	"318"	"Thevetia neriifolia Juss., glycoside extract"	"290-446-4"	"90147-54-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Theophylline"	"200-385-7"	"58-55-9"	"1710"	"Theophylline"	"200-385-7"	"58-55-9"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
"Thallium and its compounds"	"-"	"-"	"317"	"Thallium and its compounds"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Thalidomide"	"200-031-1"	"50-35-1"	"280"	"Thalidomide"	"200-031-1"	"50-35-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetryzoline"	"201-522-3"	"84-22-0"	"394"	"Tetryzoline"	"201-522-3"	"84-22-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetrylammonium bromide"	"200-769-4"	"71-91-0"	"61"	"Tetrylammonium bromide"	"200-769-4"	"71-91-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetrasodium 6-amino-4-hydroxy-3-[[7-sulphonato-4-[(4-sulphonatophenyl)azo]-1-naphthyl]azo]naphthalene-2,7-disulphonate"	"218-326-9"	"2118-39-0"	"1354"	"Tetrasodium 6-amino-4-hydroxy-3-[[7-sulphonato-4-[(4-sulphonatophenyl)azo]-1-naphthyl]azo]naphthalene-2,7-disulphonate"	"218-326-9"	"2118-39-0"	""	""	"Hair dye products"	"0 %"	""	""	
"Tetrasodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis[5-amino-4-hydroxynaphthalene-2,7-disulphonate]"	"220-012-1"	"2602-46-2"	"988"	"Tetrasodium 3,3&#39;-[[1,1&#39;-biphenyl]-4,4&#39;-diylbis(azo)]bis[5-amino-4-hydroxynaphthalene-2,7-disulphonate]"	"220-012-1"	"2602-46-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetramethrin (ISO)"	"231-711-6"	"7696-12-0"	"1618"	"Tetramethrin (ISO)"	"231-711-6"	"7696-12-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetrahydrothiopyran-3-carboxaldehyde"	"407-330-8"	"61571-06-0"	"1148"	"Tetrahydrothiopyran-3-carboxaldehyde"	"407-330-8"	"61571-06-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetrahydrofuran"	"203-726-8"	"109-99-9"	"1547"	"Tetrahydrofuran"	"203-726-8"	"109-99-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetrahydro-6-nitroquinoxaline and its salts;Tetrahydro-6-nitroquinoxaline hydrochloride"	"-"	"158006-54-3"	"1240"	"Tetrahydro-6-nitroquinoxaline and its salts"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetrahydro-6-nitroquinoxaline and its salts;Tetrahydro-6-nitroquinoxaline hydrochloride"	"-"	"158006-54-3"	"1240"	"Tetrahydro-6-nitroquinoxaline hydrochloride"	""	"158006-54-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetrahydro-6-nitro-quinoxaline"	"414-270-6"	"41959-35-7"	"1240"	"Tetrahydro-6-nitro-quinoxaline"	""	"41959-35-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetrahydro-2-furylmethanol"	"202-625-6"	"97-99-4"	"1576"	"Tetrahydro-2-furylmethanol"	"202-625-6"	"97-99-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetrahydro-1,3-dimethyl-1H-pyrimidin-2-one"	"230-625-6"	"7226-23-5"	"1526"	"Tetrahydro-1,3-dimethyl-1H-pyrimidin-2-one"	"230-625-6"	"7226-23-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetrafluoroethylene"	"204-126-9"	"116-14-3"	"1681"	"Tetrafluoroethylene"	"204-126-9"	"116-14-3"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 17 December 2022"	
"Tetraethyl pyrophosphate"	"203-495-3"	"107-49-3"	"276"	"Tetraethyl pyrophosphate"	"203-495-3"	"107-49-3"	""	""	"All cosmetic products"	"0 %"	""	""	
